id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
50,37,Pemerintah Provinsi,93225,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Laki2,107632000.0,0.0,40.0,>7jt
51,29,Wiraswasta,264166,D4,11,Cerai,Servis Lainnya,Perempuan,0.0,0.0,45.0,<=7jt
52,24,Wiraswasta,359828,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,44.0,>7jt
53,39,Wiraswasta,30916,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
54,45,Wiraswasta,32896,5th-6th,3,Belum Pernah Menikah,Mesin Inspeksi,Perempuan,0.0,0.0,35.0,<=7jt
55,60,Wiraswasta,185749,11th,7,Janda,Supir,Laki2,0.0,0.0,40.0,<=7jt
56,21,Wiraswasta,57916,SMA,9,Belum Pernah Menikah,Penjaga,Laki2,0.0,0.0,40.0,<=7jt
57,17,Wiraswasta,226503,11th,7,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,20.0,<=7jt
58,43,Wiraswasta,290660,D3,12,Menikah,Spesialis,Laki2,0.0,0.0,30.0,<=7jt
59,51,Pemerintah Provinsi,335481,Pendidikan Tinggi,10,Berpisah,Spesialis,Perempuan,0.0,0.0,40.0,>7jt
60,23,Wiraswasta,664670,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
61,54,Pekerja Bebas Bukan Perusahan,183668,5th-6th,3,Menikah,Petani,Laki2,0.0,0.0,55.0,<=7jt
62,24,Wiraswasta,199698,D3,12,Menikah,Pembersih,Laki2,0.0,0.0,48.0,<=7jt
63,33,Wiraswasta,133503,SMA,9,Menikah,Penjaga,Laki2,107632000.0,0.0,48.0,>7jt
64,49,Wiraswasta,159816,Sarjana,13,Menikah,Spesialis,Perempuan,1399986000.0,0.0,20.0,>7jt
65,76,Wiraswasta,174839,Sekolah Professional,15,Menikah,Spesialis,Laki2,131404000.0,0.0,25.0,>7jt
66,24,Wiraswasta,228686,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,45.0,<=7jt
67,42,Wiraswasta,29702,10th,6,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
68,30,Wiraswasta,259425,D4,11,Belum Pernah Menikah,Penjaga,Laki2,0.0,0.0,40.0,<=7jt
69,53,Wiraswasta,168723,D3,12,Menikah,Tech-support,Laki2,0.0,0.0,40.0,>7jt
70,25,Pemerintah Provinsi,178025,Pendidikan Tinggi,10,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,9.0,<=7jt
71,25,Wiraswasta,161027,Sarjana,13,Menikah,Tech-support,Laki2,72492000.0,0.0,40.0,>7jt
72,17,Wiraswasta,169155,12th,8,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,35.0,<=7jt
73,37,Wiraswasta,282951,SMA,9,Menikah,Spesialis,Laki2,0.0,0.0,40.0,<=7jt
74,28,Wiraswasta,247819,D4,11,Menikah,Spesialis,Perempuan,0.0,0.0,5.0,<=7jt
75,24,Wiraswasta,498349,Sarjana,13,Belum Pernah Menikah,Supir,Perempuan,0.0,0.0,40.0,<=7jt
76,17,Wiraswasta,233781,11th,7,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,18.0,<=7jt
77,34,Wiraswasta,152493,SMA,9,Cerai,Supir,Laki2,0.0,0.0,60.0,<=7jt
78,20,Wiraswasta,133061,Pendidikan Tinggi,10,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,40.0,<=7jt
79,37,Wiraswasta,186808,SMA,9,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,40.0,<=7jt
80,22,Wiraswasta,152328,Pendidikan Tinggi,10,Belum Pernah Menikah,Petani,Laki2,0.0,0.0,40.0,<=7jt
81,48,Wiraswasta,235108,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
82,51,Wiraswasta,106151,11th,7,Cerai,Supir,Laki2,0.0,0.0,40.0,<=7jt
83,19,Wiraswasta,189574,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,30.0,<=7jt
84,42,Wiraswasta,204729,D4,11,Berpisah,Sales,Perempuan,0.0,0.0,25.0,<=7jt
85,55,Pemerintah Provinsi,212600,Master,14,Cerai,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
86,47,?,109921,SMA,9,Berpisah,?,Perempuan,0.0,0.0,32.0,<=7jt
87,42,Wiraswasta,121287,SMA,9,Cerai,Mesin Inspeksi,Laki2,0.0,0.0,45.0,<=7jt
88,30,Wiraswasta,296453,Sarjana,13,Menikah,Pemuka Agama,Laki2,102172000.0,0.0,40.0,>7jt
89,65,Wiraswasta,149811,SMA,9,Cerai,Pemuka Agama,Perempuan,0.0,30884000.0,59.0,<=7jt
90,61,Pemerintah Lokal,177189,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,42.0,<=7jt
91,30,Wiraswasta,460408,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,>7jt
92,45,Wiraswasta,225456,Sarjana,13,Menikah,Spesialis,Laki2,0.0,27678000.0,40.0,>7jt
93,24,Wiraswasta,191954,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
94,52,Wiraswasta,618130,SMA,9,Cerai,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
95,49,Wiraswasta,153536,Pendidikan Tinggi,10,Cerai,Spesialis,Laki2,197176000.0,0.0,44.0,>7jt
96,36,Wiraswasta,195565,Sarjana,13,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,<=7jt
97,43,Wiraswasta,55395,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
98,38,Pemerintah Lokal,201410,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
99,25,Wiraswasta,114345,9th,5,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,12796000.0,0.0,40.0,<=7jt
100,25,Wiraswasta,129784,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
101,38,Pemerintah Negara,346766,SMA,9,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
102,43,Wiraswasta,336042,SMA,9,Berpisah,Supir,Laki2,0.0,0.0,40.0,<=7jt
103,23,Pekerja Bebas Bukan Perusahan,121568,Pendidikan Tinggi,10,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,21056000.0,40.0,<=7jt
104,43,Pekerja Bebas Bukan Perusahan,175943,Pendidikan Tinggi,10,Belum Pernah Menikah,Perbaikan Kerajinan,Perempuan,0.0,0.0,14.0,<=7jt
105,31,Wiraswasta,257644,SMA,9,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,43.0,<=7jt
106,38,Wiraswasta,216385,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,24360000.0,40.0,<=7jt
107,22,Wiraswasta,54825,SMA,9,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,40.0,<=7jt
108,32,Wiraswasta,419691,12th,8,Menikah,Sales,Laki2,0.0,0.0,40.0,>7jt
109,30,?,186420,Sarjana,13,Belum Pernah Menikah,?,Perempuan,0.0,0.0,40.0,<=7jt
110,44,Pemerintah Lokal,409505,Sarjana,13,Cerai,Penjaga,Laki2,0.0,0.0,40.0,<=7jt
111,33,Wiraswasta,87310,9th,5,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,50.0,<=7jt
112,24,Wiraswasta,86745,Sarjana,13,Menikah,Spesialis,Perempuan,0.0,0.0,40.0,<=7jt
113,37,Pemerintah Negara,159491,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,>7jt
114,38,Wiraswasta,365307,SMA,9,Berpisah,Pemuka Agama,Perempuan,0.0,0.0,32.0,<=7jt
115,49,Wiraswasta,123207,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,44.0,<=7jt
116,18,Pemerintah Lokal,152171,11th,7,Belum Pernah Menikah,Penjaga,Laki2,0.0,0.0,10.0,<=7jt
117,35,Wiraswasta,276552,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
118,30,Wiraswasta,333119,Pendidikan Tinggi,10,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
119,51,Wiraswasta,56915,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
120,50,Pekerja Bebas Bukan Perusahan,343242,Pendidikan Tinggi,10,Menikah,Supir,Laki2,0.0,0.0,55.0,<=7jt
121,34,Pekerja Bebas Perusahaan,314375,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0.0,0.0,60.0,>7jt
122,51,Pemerintah Provinsi,124076,Sarjana,13,Janda,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
123,26,Wiraswasta,160264,11th,7,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
124,35,Wiraswasta,198841,D4,11,Cerai,Tech-support,Laki2,0.0,0.0,35.0,<=7jt
125,43,Wiraswasta,279996,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,20.0,<=7jt
126,27,Wiraswasta,193122,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
127,34,Wiraswasta,223267,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,<=7jt
128,20,Pekerja Bebas Perusahaan,245611,Pendidikan Tinggi,10,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,20.0,<=7jt
129,20,Wiraswasta,181761,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
130,21,Wiraswasta,265434,Pendidikan Tinggi,10,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,30.0,<=7jt
131,44,Pekerja Bebas Perusahaan,398473,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0.0,0.0,70.0,>7jt
132,40,Wiraswasta,144594,SMA,9,Menikah,Pemuka Agama,Laki2,39606000.0,0.0,40.0,<=7jt
133,32,Wiraswasta,53135,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
134,21,Wiraswasta,165107,Pendidikan Tinggi,10,Belum Pernah Menikah,Asisten Rumah Tangga,Perempuan,0.0,0.0,40.0,<=7jt
135,27,Wiraswasta,107812,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0.0,0.0,40.0,<=7jt
136,23,Wiraswasta,56774,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
137,25,Wiraswasta,104193,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,1596000.0,0.0,40.0,<=7jt
138,53,Wiraswasta,92565,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,40.0,>7jt
139,30,Wiraswasta,235109,D4,11,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
140,27,Wiraswasta,110622,5th-6th,3,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,20.0,<=7jt
141,21,Pemerintah Negara,33423,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,35.0,<=7jt
142,48,Wiraswasta,181758,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
143,51,Pemerintah Negara,82504,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,<=7jt
144,50,Pemerintah Lokal,283314,D3,12,Menikah,Penjaga,Laki2,0.0,27678000.0,40.0,>7jt
145,47,Wiraswasta,139145,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Perempuan,0.0,0.0,60.0,<=7jt
146,59,Pekerja Bebas Perusahaan,110457,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,>7jt
147,20,Wiraswasta,133515,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,40.0,<=7jt
148,32,Wiraswasta,262153,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,35.0,<=7jt
149,37,Wiraswasta,92028,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,45.0,<=7jt
150,30,Wiraswasta,157911,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,>7jt
151,35,Wiraswasta,139012,Sarjana,13,Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,<=7jt
152,46,Wiraswasta,95864,Pendidikan Tinggi,10,Cerai,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
153,28,Wiraswasta,120471,SMA,9,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,40.0,<=7jt
154,24,Wiraswasta,274424,SMA,9,Belum Pernah Menikah,Tech-support,Perempuan,25634000.0,0.0,40.0,<=7jt
155,34,Wiraswasta,100734,SMA,9,Cerai,Tech-support,Perempuan,0.0,0.0,40.0,<=7jt
156,32,Wiraswasta,282611,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,<=7jt
157,54,Pemerintah Lokal,163557,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,30.0,<=7jt
158,58,Wiraswasta,100303,12th,8,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
159,19,Wiraswasta,197748,11th,7,Cerai,Sales,Perempuan,0.0,0.0,20.0,<=7jt
160,24,Pemerintah Negara,249385,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,10.0,<=7jt
161,47,Wiraswasta,362654,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,40.0,>7jt
162,19,Wiraswasta,156587,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,38.0,<=7jt
163,65,?,273569,SMA,9,Janda,?,Laki2,0.0,0.0,40.0,<=7jt
164,32,Wiraswasta,182714,SMA,9,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,45.0,<=7jt
165,45,Wiraswasta,129336,Master,14,Menikah,Pemuka Agama,Laki2,0.0,0.0,45.0,>7jt
166,45,Wiraswasta,190482,SMA,9,Cerai,Mesin Inspeksi,Laki2,0.0,0.0,40.0,<=7jt
167,55,Wiraswasta,102058,Sarjana,13,Menikah,Sales,Laki2,0.0,0.0,40.0,>7jt
168,57,Pekerja Bebas Perusahaan,103948,Sarjana,13,Cerai,Spesialis,Laki2,0.0,0.0,80.0,<=7jt
169,46,Pekerja Bebas Bukan Perusahan,102869,SMA,9,Menikah,Sales,Laki2,0.0,0.0,40.0,>7jt
170,23,Wiraswasta,147548,SMA,9,Cerai,Servis Lainnya,Perempuan,0.0,0.0,30.0,<=7jt
171,59,Wiraswasta,24244,Pendidikan Tinggi,10,Cerai,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
172,18,Wiraswasta,198614,11th,7,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,8.0,<=7jt
173,32,Wiraswasta,111520,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,34.0,<=7jt
174,23,Wiraswasta,315065,10th,6,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,60.0,<=7jt
175,63,?,257659,Master,14,Belum Pernah Menikah,?,Perempuan,0.0,0.0,3.0,<=7jt
176,25,Wiraswasta,75821,Pendidikan Tinggi,10,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,40.0,<=7jt
177,51,Wiraswasta,255412,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,>7jt
178,31,Pemerintah Negara,116677,SMA,9,Menikah,Sales,Laki2,0.0,0.0,40.0,<=7jt
179,55,Wiraswasta,177380,SMA,9,Cerai,Pemuka Agama,Perempuan,0.0,0.0,29.0,<=7jt
180,48,Pekerja Bebas Bukan Perusahan,187454,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,40.0,<=7jt
181,44,Wiraswasta,215304,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,45.0,>7jt
182,31,?,76198,SMA,9,Berpisah,?,Perempuan,0.0,0.0,20.0,<=7jt
183,45,Wiraswasta,320192,1st-4th,2,Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,<=7jt
184,69,Wiraswasta,188643,SMA,9,Janda,Pemuka Agama,Perempuan,0.0,20006000.0,30.0,<=7jt
185,19,Wiraswasta,97215,Pendidikan Tinggi,10,Berpisah,Sales,Perempuan,0.0,0.0,25.0,<=7jt
186,27,Pemerintah Lokal,225291,D3,12,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,40.0,<=7jt
187,55,Wiraswasta,289257,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
188,20,Pekerja Bebas Bukan Perusahan,105997,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,25.0,<=7jt
189,27,Wiraswasta,587310,7th-8th,4,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,35.0,<=7jt
190,42,Pemerintah Lokal,175642,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,1399986000.0,0.0,40.0,>7jt
191,30,Wiraswasta,267161,Pendidikan Tinggi,10,Menikah,Tech-support,Perempuan,0.0,0.0,45.0,<=7jt
192,26,Wiraswasta,62438,Sarjana,13,Menikah,Sales,Perempuan,0.0,0.0,40.0,>7jt
193,47,Wiraswasta,503454,12th,8,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
194,45,Pemerintah Lokal,255559,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
195,61,Wiraswasta,130684,Pendidikan Tinggi,10,Menikah,Spesialis,Laki2,0.0,0.0,42.0,<=7jt
196,22,Wiraswasta,154422,Pendidikan Tinggi,10,Cerai,Sales,Perempuan,0.0,0.0,30.0,<=7jt
197,28,Wiraswasta,328518,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,<=7jt
198,46,Pekerja Bebas Perusahaan,132576,SMA,9,Menikah,Sales,Laki2,0.0,26418000.0,45.0,>7jt
199,44,Pekerja Bebas Perusahaan,226027,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,60.0,<=7jt
200,21,Pemerintah Lokal,218445,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
201,72,Wiraswasta,149992,7th-8th,4,Menikah,Petani,Laki2,0.0,0.0,35.0,<=7jt
202,34,Wiraswasta,617917,Sarjana,13,Menikah,Sales,Laki2,0.0,26418000.0,40.0,>7jt
203,26,Wiraswasta,182380,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
204,24,Pemerintah Lokal,150084,Pendidikan Tinggi,10,Berpisah,Penjaga,Laki2,0.0,0.0,60.0,<=7jt
205,55,Pekerja Bebas Bukan Perusahan,76901,D3,12,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,55.0,>7jt
206,20,?,369907,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0.0,0.0,20.0,<=7jt
207,48,Wiraswasta,186299,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,>7jt
208,31,Wiraswasta,201122,Sarjana,13,Menikah,Sales,Laki2,0.0,26628000.0,45.0,>7jt
209,64,Pekerja Bebas Bukan Perusahan,149698,Sekolah Professional,15,Menikah,Spesialis,Laki2,0.0,0.0,40.0,>7jt
210,58,Pemerintah Lokal,310085,SMA,9,Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,>7jt
211,71,Wiraswasta,163385,Pendidikan Tinggi,10,Janda,Sales,Laki2,0.0,0.0,35.0,>7jt
212,56,Wiraswasta,111218,SMA,9,Menikah,Supir,Laki2,0.0,0.0,60.0,<=7jt
213,38,Pekerja Bebas Bukan Perusahan,409189,7th-8th,4,Menikah,Sales,Laki2,0.0,0.0,40.0,<=7jt
214,23,Wiraswasta,197666,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,24.0,<=7jt
215,30,Wiraswasta,174543,D3,12,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,40.0,<=7jt
216,23,Wiraswasta,138513,SMA,9,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,<=7jt
217,25,Pemerintah Provinsi,144259,SMA,9,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,<=7jt
